input_ville,input_pays,input_aeroport,climat_details,hebergement_moyen_eur_nuit,periode_recommandee,prix_vol_par_mois,tags
Amman,Jordan,Paris (CDG),"Amman bénéficie d'un climat semi-aride, caractérisé par des étés très chauds et secs (pouvant atteindre 37-38°C en juillet et août) et des hivers doux et parfois pluvieux (avec des températures moyennes autour de 12-15°C en janvier). Le printemps et l'automne offrent des températures très agréables et sont idéaux pour la visite.",80,Mars à Mai et Septembre à Novembre,"[480, 500, 550, 600, 630, 650, 692, 708, 670, 580, 433, 520]","[""Histoire"", ""Culture"", ""Sites archéologiques"", ""Gastronomie"", ""Vie urbaine""]"
Nairobi,Kenya,Paris (CDG),"Nairobi bénéficie d'un climat subtropical d'altitude tempéré par son élévation (environ 1 650-1 795 mètres), offrant des températures agréables toute l'année, chaudes en journée et fraîches, voire froides, la nuit. La période la plus ensoleillée et la plus chaude s'étend de décembre à mars, avec des maximales moyennes autour de 28 °C. Les mois les plus pluvieux sont avril, mai et novembre.",85,Décembre à Mars et Septembre à Octobre,"[776, 776, 751, 0, 0, 0, 0, 0, 0, 0, 751, 751]","[""Safari"", ""Faune"", ""Culture"", ""Nature"", ""Vie urbaine"", ""Randonnée""]"
Panama City,Panama,Paris (CDG),Climat tropical humide avec une saison sèche de décembre à avril et une saison des pluies de mai à novembre. Les températures moyennes annuelles sont d'environ 26-27°C avec une humidité constante élevée.,73,Décembre à Avril,"[690, 710, 650, 660, 650, 640, 850, 850, 600, 600, 750, 800]","[""Plage"", ""Nature"", ""Culture"", ""Canal de Panama"", ""Tropical""]"
Nagoya,Japan,Paris (CDG),"Nagoya bénéficie d'un climat tempéré humide. Les hivers sont assez froids avec des maximales autour de 5-15°C et des possibles légères chutes de neige. Les étés sont chauds, humides et pluvieux, avec des températures dépassant souvent 35°C et un risque de typhons de juin à octobre, particulièrement d'août à début octobre. Le printemps et l'automne offrent des températures plus douces et des paysages agréables, avec la floraison des cerisiers début avril et les couleurs de l'automne.",100,Printemps (mi-avril à mi-mai) et Automne (fin octobre à mi-novembre),"[850, 850, 950, 1250, 1050, 950, 1350, 1250, 1050, 1150, 750, 1000]","[""Culture"", ""Gastronomie"", ""Château"", ""Shopping"", ""Musées"", ""Modernité"", ""Excursions nature""]"
Fukuoka,Japan,Paris (CDG),"Fukuoka a un climat tempéré humide, avec des hivers doux et des étés chauds, moites et pluvieux. Les températures moyennes varient de 10°C en janvier à 32°C en août. Les précipitations sont les plus importantes en juillet.",110,Printemps (Avril à Mai) et Automne (Septembre à Novembre) offrent un climat très agréable. Mars et Octobre sont également de bonnes périodes.,"[920, 850, 777, 900, 950, 1050, 1200, 1289, 1000, 900, 750, 880]","[""Culture"", ""Gastronomie"", ""Shopping"", ""Nature"", ""Festivals"", ""Portuaire""]"
Maseru,Lesotho,Paris (CDG),"Climat tempéré, variant avec l'altitude. Étés (déc-fév) chauds en journée (env. 27°C), nuits fraîches (env. 14°C) et saison des pluies. Hivers (juin-août) secs, doux en journée (env. 15°C), nuits froides (parfois gel). Fortes variations de température jour/nuit.",77,Décembre à Avril et Septembre à Octobre,"[884, 950, 980, 958, 900, 950, 1050, 980, 990, 1000, 920, 707]","[""Montagnes"", ""Randonnée"", ""Culture Basotho"", ""Écotourisme"", ""Aventure"", ""Cascades"", ""Pony Trekking"", ""Paysages""]"
Mexico City,Mexico,Paris (CDG),"Le climat de Mexico City est subtropical et tempéré grâce à son altitude élevée (plus de 2 200 mètres). La saison sèche s'étend de novembre à avril, offrant des journées ensoleillées et sèches avec des températures douces à agréablement chaudes (minimales de 6-10°C, maximales de 24-27°C). La saison des pluies va de mai à octobre, avec des averses fréquentes, surtout l'après-midi, et des températures plus chaudes.",120,Novembre à avril,"[699, 699, 600, 650, 700, 750, 850, 800, 550, 700, 750, 840]","[""Culture"", ""Histoire"", ""Gastronomie"", ""Art"", ""Sites Archéologiques"", ""Vie Nocturne""]"
Doha,Qatar,Paris (CDG),"Climat désertique chaud. Hivers doux et agréables avec des températures moyennes entre 15°C et 24°C, idéales pour les activités de plein air. Les étés sont très chauds, avec des températures dépassant fréquemment les 40°C en juillet et août. Les précipitations sont très faibles toute l'année.",100,Novembre à Mars,"[450, 500, 600, 550, 500, 480, 450, 480, 400, 550, 450, 650]","[""Culture"", ""Désert"", ""Luxe"", ""Shopping"", ""Plages"", ""Architecture moderne"", ""Souq Waqif""]"
Astana,Kazakhstan,Paris (CDG),"Climat continental semi-aride, avec des hivers longs et très froids (températures pouvant descendre jusqu'à -21°C ou moins) et des étés longs, confortables, secs et chauds (températures jusqu'à 26°C ou plus). La ville est souvent venteuse.",65,Mai à Septembre,"[400, 380, 450, 500, 550, 600, 700, 650, 580, 520, 480, 420]","[""Architecture Moderne"", ""Culture Kazakhe"", ""Hiver Rigoureux"", ""Steppes""]"
Luang Prabang,Laos,Paris (CDG),"Climat tropical de mousson avec une saison sèche de novembre à avril, caractérisée par des températures plus fraîches et un ciel dégagé, idéale pour les activités extérieures. La saison des pluies, de mai à octobre, apporte des précipitations abondantes et des paysages luxuriants. Les températures moyennes annuelles varient de 22°C à 26°C, avec des pics de chaleur en avril.",38,Novembre à Mars,"[889, 950, 900, 980, 1000, 1150, 1292, 1543, 1100, 897, 900, 950]","[""Culture"", ""Patrimoine UNESCO"", ""Nature"", ""Mékong"", ""Temples"", ""Cascades""]"
Oaxaca,Mexico,Paris (CDG),"Le climat d'Oaxaca de Juárez est subtropical, avec un hiver très doux de la mi-novembre au début mars où les nuits peuvent être fraîches (jusqu'à 8°C-10°C) et les journées agréables (environ 20°C). L'été (juin à octobre) est chaud et relativement pluvieux, avec des averses brèves en après-midi. Les mois de mars à mai peuvent connaître des pics de chaleur (jusqu'à 33-34°C).",58,Novembre à Avril,"[850, 800, 634, 700, 750, 800, 1229, 1266, 780, 598, 880, 950]","[""Culture"", ""Gastronomie"", ""Sites archéologiques""]"
Kaunas,Lithuania,Paris (CDG),"Kaunas a un climat continental humide avec des étés confortables et partiellement nuageux, et des hivers longs, glacials, neigeux et couverts. La température moyenne annuelle est d'environ 9°C, variant généralement de -6°C à 23°C.",70,Mai à Septembre,"[85, 90, 110, 125, 140, 160, 170, 165, 80, 100, 95, 105]","[""culture"", ""histoire"", ""architecture"", ""musées"", ""festivals"", ""vieille ville"", ""nature"", ""sport""]"
Podgorica,Montenegro,Paris (CDG),"Podgorica bénéficie d'un climat méditerranéen de transition. Les étés (juin à août) sont très chauds et ensoleillés, avec des températures pouvant dépasser 35°C et atteignant parfois 40°C ou plus, ce qui en fait l'une des villes les plus chaudes d'Europe. Les hivers sont doux, avec des périodes ensoleillées et pluvieuses, et des nuits froides. La ville est l'une des capitales les plus pluvieuses d'Europe, surtout en automne (octobre, novembre, décembre). La température moyenne annuelle est d'environ 17°C.",70,"Mai à Septembre, avec Avril et Octobre également agréables pour éviter les foules et les fortes chaleurs.","[180, 170, 190, 220, 250, 280, 320, 350, 190, 210, 160, 220]","[""Capitale"", ""Monténégro"", ""Culture"", ""Histoire"", ""Nature"", ""Lac Skadar"", ""Adriatique""]"
Kuching,Malaysia,Paris (CDG),"Climat équatorial, chaud et humide toute l'année. Températures moyennes maximales autour de 32°C (30°C en janvier, 34°C en août). Fortes précipitations annuelles, avec les mois de décembre et janvier comme les plus pluvieux, et une période relativement moins pluvieuse d'avril à août.",50,Avril à Septembre (saison plus sèche et agréable),"[950, 850, 700, 800, 850, 900, 1000, 1100, 850, 800, 750, 750]","[""nature"", ""culture"", ""aventure""]"
Port Louis,Mauritius,Paris (CDG),"Maurice bénéficie d'un climat tropical. L'été austral (novembre à avril) est chaud et humide, avec des températures moyennes de 26-28°C et des précipitations plus importantes, notamment de janvier à mars (risques de cyclones). L'hiver austral (mai à octobre) est plus frais, sec et ensoleillé, avec des températures moyennes de 22-25°C et moins de pluie. Une taxe de séjour de 3€ par nuit et par touriste sera appliquée à partir du 1er octobre 2025.",125,"De mai à octobre pour un climat sec et des températures agréables. Les mois d'août, septembre et octobre sont souvent cités comme idéaux pour profiter pleinement de l'île.","[900, 787, 850, 800, 850, 888, 975, 975, 850, 900, 780, 888]","[""plages"", ""nature"", ""sports nautiques"", ""randonnée"", ""culture"", ""détente"", ""famille""]"
Beira,Mozambique,Paris (CDG),"Le climat de Beira est tropical, avec une saison chaude et pluvieuse de novembre à avril et une saison plus fraîche et relativement sèche de mai à septembre. Les températures moyennes varient de 21,1 °C en juillet (le mois le plus frais) à 28,1 °C en février (le mois le plus chaud). Les précipitations sont abondantes, atteignant 1595 mm par an, avec un pic en février (300 mm) et un minimum en septembre (25 mm). La température de la mer est agréable toute l'année, variant entre 23,5 °C en juillet-août et 29 °C en février.",85,Mai à Novembre,"[850, 900, 950, 800, 850, 900, 1000, 1100, 750, 850, 900, 950]","[""ville portuaire"", ""culturel"", ""plages"", ""histoire"", ""tropical"", ""marchés locaux""]"
Salalah,Oman,Paris (CDG),"Salalah jouit d'un climat désertique chaud avec des hivers doux et ensoleillés (températures moyennes de 20°C à 27°C) et des étés plus chauds et humides (températures moyennes de 28°C à 32°C) sous l'influence de la mousson, appelée Khareef, de juillet à août. Les précipitations sont faibles et se concentrent principalement durant cette période.",80,Septembre à Avril,"[380, 400, 550, 530, 500, 450, 600, 620, 580, 550, 480, 590]","[""Plages"", ""Nature"", ""Cascades"", ""Sites archéologiques"", ""Encens"", ""Culture"", ""Désert"", ""Montagnes"", ""Souks""]"
Pretoria,South Africa,Paris (CDG),"Pretoria bénéficie d'un climat subtropical humide, caractérisé par des étés chauds et pluvieux (novembre à mars) avec des orages fréquents, et des hivers doux, secs et ensoleillés (mai à août) avec des matinées fraîches.",45,Mai à Septembre,"[700, 700, 680, 650, 600, 750, 1000, 950, 800, 650, 600, 850]","[""Histoire"", ""Culture"", ""Nature"", ""Ville des Jacarandas""]"
Monterrey,Mexico,Paris (CDG),"Le climat de Monterrey est subtropical, avec des hivers très doux de décembre à février et des étés très chauds et relativement pluvieux d'avril à octobre. Des vagues de froid courtes peuvent survenir en hiver, et des températures extrêmes (jusqu'à 43-45 °C) peuvent être atteintes d'avril à juin. La saison des ouragans s'étend de juin à novembre, avec une probabilité plus élevée d'août à octobre.",67,"Octobre à Avril (hivers doux, printemps et automne agréables)","[1000, 750, 800, 0, 0, 0, 1400, 0, 0, 0, 0, 0]","[""Culture"", ""Nature"", ""Randonnée"", ""Gastronomie"", ""Parcs"", ""Musées""]"
Chisinau,Moldova,Paris (CDG),"Chisinau bénéficie d'un climat continental. Les hivers (décembre à février) sont froids, avec une température moyenne de -1,5 °C en janvier et des vents. Les étés (juin à août) sont chauds et ensoleillés, avec une moyenne de 23-25 °C, malgré des orages fréquents l'après-midi. Les précipitations annuelles sont modérées (environ 550 mm). L'ensoleillement est bon en été mais faible de novembre à janvier.",88,Avril à Octobre,"[220, 151, 175, 245, 270, 280, 290, 315, 264, 250, 140, 190]","[""Culture"", ""Histoire"", ""Œnologie"", ""Parcs"", ""Architecture""]"
Oslo,Norway,Paris (CDG),Oslo a un climat continental humide. Les étés (juin-août) sont doux et agréables (18-22°C en moyenne) avec de longues journées et un ensoleillement favorable. Les hivers (déc-fév) sont froids et neigeux (-6°C à -3°C en moyenne) avec des jours courts. Le printemps et l'automne sont des saisons de transition.,160,"Juin à Août pour le beau temps et les activités de plein air, Janvier à Mars pour les sports d'hiver et les aurores boréales.","[90, 100, 80, 120, 150, 180, 220, 190, 160, 130, 100, 140]","[""Nature"", ""Culture"", ""Fjord"", ""Musées"", ""Architecture"", ""Sports d'hiver""]"
Paramaribo,Suriname,Paris (CDG),"Paramaribo a un climat équatorial, chaud, humide et pluvieux toute l'année, avec des températures moyennes autour de 28-30°C. Les pluies sont moins intenses de septembre à novembre, tandis que mai et juin sont les mois les plus pluvieux.",88,"Janvier, Mars, et de Août à Novembre (période la plus agréable ou avec moins de pluie)","[1300, 1250, 1200, 1300, 1200, 1114, 1400, 1600, 1300, 1250, 1200, 1400]","[""Culture"", ""Nature"", ""Patrimoine colonial"", ""Fleuve Suriname""]"
Kotor,Montenegro,Paris (CDG),"Le climat de Kotor est méditerranéen, avec des hivers doux et pluvieux, et des étés chauds et ensoleillés. Les températures moyennes varient de 13°C en janvier à 31°C en juillet. Les mois les plus pluvieux sont octobre, novembre et décembre.",75,Mai à Septembre,"[250, 180, 220, 270, 300, 350, 450, 500, 280, 210, 200, 380]","[""Vieille ville"", ""Patrimoine UNESCO"", ""Bouches de Kotor"", ""Randonnée"", ""Excursions en bateau"", ""Plages"", ""Montagnes"", ""Culture"", ""Histoire""]"
Rabat,Morocco,Paris (CDG),"Rabat bénéficie d'un climat méditerranéen tempéré par l'océan Atlantique. Les hivers sont doux et humides, tandis que les étés sont chauds mais adoucis par la brise marine, avec des températures agréables au printemps et en automne, idéales pour la visite.",110,Printemps (Mars à Mai) et Automne (Septembre à Novembre),"[198, 180, 150, 210, 220, 250, 300, 350, 260, 200, 160, 230]","[""Culture"", ""Histoire"", ""Côte Atlantique"", ""Médina"", ""Patrimoine UNESCO"", ""Gastronomie"", ""Art de vivre"", ""Jardins""]"
Arequipa,Peru,Paris (CDG),"Climat subtropical désertique de montagne. Les températures diurnes sont douces et stables (environ 22-25°C) toute l'année, avec des nuits plus fraîches (environ 8-12°C) de mai à septembre. Les précipitations sont très faibles la majeure partie de l'année, avec quelques averses possibles de janvier à mars, février étant le mois le plus pluvieux. La ville bénéficie d'un très bon ensoleillement.",18,Mars à Décembre,"[900, 850, 916, 950, 1000, 1050, 1100, 1100, 1050, 1000, 1138, 1324]","[""Architecture coloniale"", ""Canyon de Colca"", ""Volcans"", ""Culture inca"", ""Gastronomie""]"
Krakow,Poland,Paris (CDG),"Cracovie a un climat continental modéré avec des hivers froids et enneigés (moyenne de -5°C à 2°C en janvier) et des étés agréables et chauds (moyenne de 12°C à 25°C en juillet/août). Les précipitations sont modérées, avec environ 12 jours de pluie par mois.",90,"De mai à septembre pour un temps agréable et ensoleillé, ou mars-avril et septembre-octobre pour des températures clémentes et moins de foule. Décembre est idéal pour l'ambiance des fêtes de fin d'année.","[28, 28, 29, 49, 52, 52, 75, 52, 52, 52, 81, 33]","[""Historique"", ""Culturel"", ""Architecture"", ""Vieille Ville"", ""Château du Wawel"", ""Quartier Juif"", ""Auschwitz (excursion)"", ""Mines de Sel de Wieliczka (excursion)"", ""Abordable""]"
Chiang Rai,Thailand,Paris (CDG),"Chiang Rai bénéficie d'un climat agréable avec des températures moyennes variant de 28°C en décembre à 39°C en avril. La période de novembre à février est la saison sèche et fraîche, idéale pour visiter, avec des températures minimales autour de 17°C et peu de précipitations. La saison chaude s'étend de mars à mai, avec avril étant le mois le plus chaud. La saison des pluies va de juin à octobre, avec juillet et août étant les mois les plus pluvieux.",21,Octobre à Février,"[700, 700, 650, 600, 550, 450, 450, 450, 450, 500, 550, 650]","[""Culture"", ""Temples"", ""Nature"", ""Trekking"", ""Marchés"", ""Éléphants"", ""Triangle d'Or""]"
Maastricht,Netherlands,Paris (CDG),"Maastricht a un climat sub-océanique, humide et pluvieux, influencé par l'Atlantique et la mer du Nord. Les hivers sont froids, gris, humides et venteux, tandis que les étés sont doux à agréablement chauds, parfois très chauds en juillet et août. La température annuelle moyenne est de 9,5 °C.",141,"De mi-mai à mi-septembre, avec un climat agréable de mai à septembre.","[233, 195, 195, 0, 0, 0, 0, 0, 0, 0, 214, 194]","[""Historique"", ""Culturel"", ""Shopping"", ""Gastronomie"", ""Architecture médiévale"", ""Vieille ville"", ""Musées"", ""Meuse"", ""Grottes""]"
Christchurch,New Zealand,Paris (CDG),"Christchurch bénéficie d'un climat océanique tempéré. Les étés (décembre-février) sont doux avec des températures maximales moyennes autour de 22°C en janvier, et les hivers (juin-août) sont frais, avec des minimales autour de 1°C en juillet. La ville connaît des précipitations modérées et peut être soumise au 'nor'wester', un vent chaud local.",75,Décembre à Mars,"[1950, 1900, 1597, 1650, 1390, 1390, 2027, 1988, 1700, 1750, 1850, 1755]","[""Nature"", ""Culture Maorie"", ""Rénovation Urbaine""]"
Gotland,Sweden,Paris (CDG),"Gotland bénéficie d'un climat tempéré pour sa latitude grâce au Gulf Stream. Les étés (juin-août) sont doux, avec des maximales autour de 20-22°C en juillet-août, pouvant atteindre 26-27°C. Les hivers sont froids, avec des températures moyennes proches de 0°C en janvier et février. Les précipitations sont modérées tout au long de l'année, juillet étant le mois le plus humide. L'île reçoit environ 2100 heures d'ensoleillement par an.",170,Juin à Août (été est la plus douce). Le printemps offre moins de foule et une nature florissante. L'automne est apprécié pour son climat doux et moins de touristes.,"[120, 110, 160, 200, 280, 400, 500, 450, 300, 220, 130, 250]","[""Visby"", ""Ville médiévale"", ""Nature"", ""Randonnée"", ""Cyclisme"", ""Plages"", ""Histoire Viking"", ""Marchés locaux"", ""Truffe"", ""Semaine médiévale""]"
St Ives,United Kingdom,Paris (CDG),"St Ives bénéficie d'un climat océanique tempéré, doux et ensoleillé grâce au Gulf Stream. Les étés (juin-août) sont frais et confortables avec des températures moyennes d'environ 18°C et des précipitations modérées. Les hivers sont doux, avec une moyenne de 12°C. Les gelées et la neige sont très rares. C'est l'un des endroits les plus ensoleillés du Royaume-Uni.",154,Juin à Septembre,"[170, 170, 160, 150, 180, 220, 280, 270, 230, 190, 160, 200]","[""Plages"", ""Art"", ""Activités nautiques"", ""Randonnée"", ""Culture"", ""Pêche"", ""Gastronomie"", ""Paysages""]"
Tromsø,Norway,Paris (CDG),"Tromsø bénéficie d'un climat subarctique. Les hivers sont longs, glaciaux, neigeux et venteux, avec des températures moyennes de -6°C à -0°C, et peuvent descendre jusqu'à -25°C. Les étés sont courts et frais, avec des températures autour de 15°C et le phénomène du soleil de minuit de mi-mai à juillet.",180,Septembre à Mars,"[200, 200, 140, 180, 220, 300, 280, 250, 220, 240, 260, 280]","[""aurores boréales"", ""traîneau à chiens"", ""observation des baleines"", ""soleil de minuit"", ""paysages arctiques"", ""culture sami""]"
Granada,Nicaragua,Paris (CDG),"Granada bénéficie d'un climat tropical de savane (Aw), chaud et humide toute l'année. La saison sèche s'étend de décembre à avril, tandis que la saison des pluies va de mai à novembre. Les températures moyennes varient généralement entre 27°C et 32°C.",65,Décembre à Avril,"[900, 950, 1050, 900, 980, 1000, 1350, 1300, 980, 950, 1050, 1300]","[""Architecture coloniale"", ""Volcans et lacs"", ""Nature et aventure""]"
San Juan,Puerto Rico,Paris (CDG),"San Juan bénéficie d'un climat tropical humide et chaud toute l'année, avec des températures moyennes variant de 27°C en janvier à 30°C en septembre. La météo est très favorable de janvier à avril, idéale de juin à août et très bonne en décembre. La saison des pluies est plus marquée de mai à novembre, avec un risque d'ouragans de juin à novembre.",374,Janvier à Août,"[950, 700, 600, 700, 750, 680, 800, 900, 850, 650, 650, 750]","[""Plages"", ""Histoire"", ""Culture"", ""Architecture coloniale"", ""Caraïbes"", ""Gastronomie"", ""Vie nocturne"", ""Nature"", ""Fortifications""]"
Salt Lake City,United States,Paris (CDG),"Le climat de Salt Lake City est continental, caractérisé par des hivers froids et enneigés (températures minimales de -6°C en janvier, chutes de neige fréquentes de novembre à avril) et des étés chauds et secs (températures maximales de 35°C en juillet, pouvant atteindre 38-40°C). Le printemps et l'automne sont des saisons de transition avec des températures plus douces et des précipitations modérées. Des inversions de température peuvent provoquer du brouillard et de la brume en hiver.",184,"De juin à septembre pour les activités estivales, ou mai et septembre-octobre pour des températures plus douces et moins de foule. Les sports d'hiver sont possibles de novembre à avril.","[850, 700, 650, 750, 700, 900, 1200, 1000, 850, 700, 750, 900]","[""Ski"", ""Sports d'hiver"", ""Montagnes"", ""Culture mormone"", ""Parcs nationaux"", ""Grand Lac Salé"", ""Randonnée"", ""Activités de plein air""]"
Asunción,Paraguay,Paris (CDG),"Asunción bénéficie d'un climat subtropical humide. Les étés (de novembre à mars) sont très chauds, humides et pluvieux, avec des températures moyennes autour de 28-33°C et pouvant dépasser 40°C lors des vagues de chaleur, accompagnées de fortes pluies et d'orages. Les hivers (de mai à septembre) sont doux et plus secs, avec des températures moyennes variant de 15°C à 26°C. L'humidité reste élevée toute l'année.",45,"De mai à septembre est la période la plus favorable pour visiter Asunción, avec des températures douces et moins de précipitations. Août et septembre sont considérés comme idéaux.","[1150, 1100, 839, 1050, 950, 1000, 1250, 1289, 1150, 1050, 668, 1200]","[""Culture"", ""Histoire"", ""Gastronomie"", ""Ville"", ""Fleuve"", ""Shopping""]"
Manila,Philippines,Paris (CDG),"Manille a un climat tropical avec deux saisons principales : une saison sèche de novembre à mai et une saison des pluies de juin à octobre. Les températures moyennes varient de 23°C à 34°C toute l'année. La saison sèche est caractérisée par un ciel clair et de faibles précipitations, avec avril et mai étant les mois les plus chauds. La saison des pluies apporte des précipitations intenses, notamment en juillet et août, avec des risques de typhons. La température de la mer est agréable toute l'année, variant de 27°C à 30°C.",90,Décembre à Février,"[800, 850, 750, 700, 680, 650, 800, 780, 550, 720, 750, 850]","[""Climat tropical"", ""Saison sèche"", ""Culturel"", ""Vie urbaine"", ""Gastronomie"", ""Shopping""]"
Bern,Switzerland,Paris (CDG),"Berne bénéficie d'un climat modérément continental, avec des hivers froids et neigeux et des étés assez chauds et confortables. Les températures varient généralement de -4 °C à 24 °C. Les précipitations annuelles sont d'environ 1025 à 1104 mm.",160,Mai à septembre,"[350, 280, 300, 380, 450, 500, 550, 520, 450, 380, 300, 480]","[""ville historique"", ""culture"", ""nature"", ""patrimoine UNESCO"", ""montagnes""]"
Catania,Italy,Paris (CDG),"Catane bénéficie d'un climat méditerranéen avec des hivers doux et relativement pluvieux, et des étés chauds et ensoleillés. Les températures moyennes varient de 16°C en janvier à 33°C en août. Les mois de juillet et août peuvent connaître des vagues de chaleur intenses, dépassant parfois les 40°C. Les mois les plus pluvieux sont janvier, novembre et décembre.",110,Avril à Juin et Septembre à Octobre,"[75, 80, 90, 120, 130, 140, 200, 210, 150, 120, 90, 85]","[""Volcan Etna"", ""Architecture baroque"", ""Plage"", ""Gastronomie"", ""Histoire"", ""Sicile""]"
Davao,Philippines,Paris (CDG),"Davao bénéficie d'un climat équatorial, chaud, humide et pluvieux toute l'année. Les températures varient peu, avec des maximales moyennes autour de 30-32°C.",55,Janvier à Mai,"[785, 850, 950, 980, 900, 920, 1000, 1173, 803, 899, 837, 1050]","[""Nature"", ""Plages"", ""Culture"", ""Gastronomie"", ""Aventure""]"
Porto,Portugal,Paris (CDG),"Porto bénéficie d'un climat océanique tempéré, avec des hivers doux et pluvieux et des étés agréablement chauds et ensoleillés. Les températures varient de 14°C en janvier à 25°C en août. La température moyenne du mois le plus froid (janvier) est de 10,2°C et celle du mois le plus chaud (août) est de 19,9°C. Les précipitations sont plus abondantes en hiver, au printemps et en automne. Le brouillard peut se former toute l'année, surtout la nuit et tôt le matin.",110,"D'avril à octobre est la période la plus favorable. Le printemps (mars à mai) et le début de l'automne (septembre) offrent des températures douces et moins de foule. L'été (juin à août) est idéal pour le soleil et les activités animées, mais les prix sont plus élevés.","[60, 60, 70, 85, 100, 120, 140, 150, 120, 90, 70, 130]","[""culture"", ""gastronomie"", ""vin de Porto"", ""croisière sur le Douro"", ""architecture"", ""ruelles historiques"", ""visites de caves"", ""Livraria Lello"", ""Ribeira""]"
Azores,Portugal,Paris (CDG),"Climat océanique, tempéré et doux toute l'année. Les hivers sont doux mais pluvieux (novembre à mars), tandis que les étés sont agréablement chauds, plus secs et ensoleillés (juin à août). Les températures moyennes oscillent généralement entre 15°C et 26°C.",132,Mai à Octobre,"[200, 190, 180, 250, 300, 350, 400, 420, 320, 280, 200, 280]","[""Volcans"", ""Randonnée"", ""Observation de baleines"", ""Nature"", ""Lacs""]"
Freetown,Sierra Leone,Paris (CDG),Climat tropical humide. Saison sèche de décembre à avril avec des températures moyennes de 27°C (pouvant atteindre 32°C). Saison des pluies de mai à octobre avec des précipitations importantes et des températures autour de 25°C. La température de la mer est agréable toute l'année.,90,Décembre à Avril,"[1000, 823, 773, 900, 850, 950, 949, 980, 791, 791, 900, 1075]","[""Plages"", ""Culture"", ""Histoire"", ""Nature"", ""Faune"", ""Climat tropical""]"
Laval,Quebec,Paris (CDG),"Laval connaît des étés longs et confortables, ainsi que des hivers glaciaux, neigeux et venteux. Le climat est partiellement nuageux tout au long de l'année. Les températures varient généralement de -14 °C à 26 °C. C'est un climat continental humide avec un été tempéré, et les précipitations sont plus importantes en été qu'en hiver.",157,Juin à Septembre,"[450, 430, 480, 400, 550, 600, 700, 650, 400, 450, 450, 550]","[""culture"", ""nature"", ""famille"", ""loisirs"", ""gastronomie"", ""urbain"", ""hiver"", ""été"", ""festivals"", ""plein air""]"
Saint-Denis,Réunion,Paris (CDG),"Climat tropical avec des microclimats variés. L'été austral (novembre à avril) est chaud et humide, avec des températures côtières supérieures à 30°C et des précipitations importantes, ainsi qu'un risque de cyclones (janvier à mars). L'hiver austral (mai à octobre) est plus frais et sec, avec des températures côtières entre 18°C et 27°C, idéal pour les randonnées.",125,"Mai à Novembre (saison sèche), particulièrement Septembre, Octobre et Novembre pour un climat idéal et moins de touristes.","[522, 1109, 441, 600, 700, 750, 920, 1049, 700, 750, 419, 939]","[""Volcan"", ""Randonnée"", ""Plages"", ""Cirques"", ""Cascades"", ""Parapente"", ""Canyoning"", ""Nature"", ""Culture"", ""Gastronomie""]"
Constanta,Romania,Paris (CDG),"Le climat de Constanta est légèrement continental, avec des hivers froids, enneigés et venteux, et des étés chauds, ensoleillés et secs. La température maximale moyenne annuelle est de 17°C, allant de 5°C en janvier à 29°C en août. Les précipitations sont rares en été.",75,Mai à Septembre,"[244, 260, 290, 330, 380, 430, 480, 502, 420, 350, 290, 340]","[""Plages"", ""Mer Noire"", ""Histoire"", ""Architecture"", ""Culture"", ""Casino"", ""Musées""]"
Puerto Vallarta,Mexico,Paris (CDG),"Puerto Vallarta bénéficie d'un climat tropical. La saison sèche, de novembre à mai, offre des températures agréables (environ 16°C à 26°C) et une faible humidité. La saison humide, de juin à octobre, est caractérisée par des températures plus élevées et des précipitations, souvent sous forme de courtes averses nocturnes.",156,Novembre à Mai,"[946, 946, 0, 0, 0, 581, 0, 0, 0, 430, 0, 0]","[""plages"", ""activités nautiques"", ""observation baleines"", ""culture mexicaine"", ""stations balnéaires"", ""Malecon""]"
Cape Town,South Africa,Paris (CDG),"Le Cap bénéficie d'un climat méditerranéen. L'été austral (de décembre à mars) est chaud et ensoleillé avec des températures moyennes entre 19°C et 22°C, pouvant atteindre 28°C. L'hiver (de juin à août) est plus frais et humide, avec des températures autour de 12°C à 19°C.",245,Novembre à Mars,"[680, 750, 650, 600, 550, 580, 600, 620, 680, 750, 800, 950]","[""Nature"", ""Montagne"", ""Plages"", ""Culture"", ""Histoire"", ""Vin"", ""Randonnée"", ""Vie nocturne""]"
Castries,Saint Lucia,Paris (CDG),"Climat tropical, tempéré par les alizés. La saison sèche s'étend de janvier à mai, offrant le plus de journées ensoleillées. La saison humide va de juin à décembre, avec une saison des cyclones de juin à novembre. Les températures moyennes varient de 23 à 31°C toute l'année, avec une mer entre 26 et 29°C.",184,Janvier à Mai,"[980, 930, 870, 900, 830, 860, 1000, 1148, 770, 790, 761, 1080]","[""Plages"", ""Nature"", ""Culture""]"
